found,发现,/fˈaʊnd/,I found my keys under the sofa.,我在沙发下面找到了钥匙。,
came to his home,来到他家,/kˈeɪm tə hɪz hˈəʊm/,His friend came to his home after school.,他的朋友放学后来到了他家。,
lost,丢失,/lˈɒst/,I lost my wallet on the bus.,我在公共汽车上丢了钱包。,
gave this book to him,把书给他,/ɡˈeɪv ðɪs bˈʊk tə hˌɪm/,His sister gave this book to him last week.,他姐姐上周把这本书给了他。,
on the bookcase,在书架上,/ɒnðə bˈʊkkeɪs/,The dictionary is on the bookcase.,字典在书架上。,
phoned to his friend,给他朋友打电话,/fˈəʊnd tə hɪz fɹˈɛnd/,He phoned his friend to ask about the homework.,他给朋友打电话询问作业。,
favorite,最喜爱的,/fˈeɪvɹɪt/,My favorite subject is English.,我最喜欢的科目是英语。,adj./n. 最喜欢的(人/物)。= favourite(英式)
healthy,健康的,/hˈɛlθi/,A healthy breakfast gives you energy for the morning.,健康的早餐能给你上午所需的能量。,adj. 健康的。keep healthy 保持健康
fun,好玩的,/fˈʌn/,The school trip was great fun.,学校旅行非常有趣。,
couldn’t,不能,/kˈʊdənt/,I couldn’t hear the teacher because the room was noisy.,房间太吵了，我听不清老师的话。,
